packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
12626,31.750246,1782457455.0142264,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,47590,8080,SYN,2,3808816975,0,64240,True,False,False,False,False
12627,31.750301,1782457455.0142817,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,37880,"SYN,ACK",18,492751454,2637076391,65160,False,True,False,False,False
12628,31.750301,1782457455.0142817,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,47590,"SYN,ACK",18,706103259,3808816976,65160,False,True,False,False,False
12629,31.750406,1782457455.0143867,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,47590,8080,ACK,16,3808816976,706103260,502,False,False,True,False,False
12630,31.750407,1782457455.0143874,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37880,8080,ACK,16,2637076391,492751455,502,False,False,True,False,False
12631,31.750629,1782457455.0146096,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37880,8080,"ACK,RST",20,2637076391,492751455,502,False,False,False,False,True
12632,31.750629,1782457455.01461,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,47590,8080,"ACK,RST",20,3808816976,706103260,502,False,False,False,False,True
12633,31.765132,1782457455.0291126,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,56050,8080,SYN,2,2268801655,0,64240,True,False,False,False,False
12634,31.765184,1782457455.0291648,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,56050,"SYN,ACK",18,1254983214,2268801656,65160,False,True,False,False,False
12635,31.765253,1782457455.029234,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,56050,8080,ACK,16,2268801656,1254983215,502,False,False,True,False,False
12636,31.765501,1782457455.029482,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,56050,8080,"ACK,RST",20,2268801656,1254983215,502,False,False,False,False,True
12637,31.775191,1782457455.039172,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,47600,8080,SYN,2,2593743998,0,64240,True,False,False,False,False
12638,31.775192,1782457455.0391724,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,37884,8080,SYN,2,1107447501,0,64240,True,False,False,False,False
12639,31.775243,1782457455.0392232,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,37884,"SYN,ACK",18,824446005,1107447502,65160,False,True,False,False,False
12640,31.775243,1782457455.0392232,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,47600,"SYN,ACK",18,2075926919,2593743999,65160,False,True,False,False,False
12641,31.775308,1782457455.039289,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37884,8080,ACK,16,1107447502,824446006,502,False,False,True,False,False
12642,31.775309,1782457455.0392895,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,47600,8080,ACK,16,2593743999,2075926920,502,False,False,True,False,False
12643,31.775533,1782457455.0395133,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,47600,8080,"ACK,RST",20,2593743999,2075926920,502,False,False,False,False,True
12644,31.775533,1782457455.0395138,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37884,8080,"ACK,RST",20,1107447502,824446006,502,False,False,False,False,True
12645,31.790083,1782457455.0540638,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,56052,8080,SYN,2,584471623,0,64240,True,False,False,False,False
12646,31.79013,1782457455.054111,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,56052,"SYN,ACK",18,1400257882,584471624,65160,False,True,False,False,False
12647,31.79019,1782457455.0541706,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,56052,8080,ACK,16,584471624,1400257883,502,False,False,True,False,False
12648,31.79037,1782457455.0543506,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,56052,8080,"ACK,RST",20,584471624,1400257883,502,False,False,False,False,True
12649,31.800158,1782457455.0641387,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,37888,8080,SYN,2,1841137824,0,64240,True,False,False,False,False
12650,31.800158,1782457455.064139,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,47604,8080,SYN,2,4155826926,0,64240,True,False,False,False,False
12651,31.800205,1782457455.0641856,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,47604,"SYN,ACK",18,1034810369,4155826927,65160,False,True,False,False,False
12652,31.800205,1782457455.0641856,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,37888,"SYN,ACK",18,1371237511,1841137825,65160,False,True,False,False,False
12653,31.800262,1782457455.064243,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37888,8080,ACK,16,1841137825,1371237512,502,False,False,True,False,False
12654,31.800264,1782457455.0642443,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,47604,8080,ACK,16,4155826927,1034810370,502,False,False,True,False,False
12655,31.80046,1782457455.064441,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,47604,8080,"ACK,RST",20,4155826927,1034810370,502,False,False,False,False,True
12656,31.800461,1782457455.0644414,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37888,8080,"ACK,RST",20,1841137825,1371237512,502,False,False,False,False,True
12657,31.81506,1782457455.079041,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,56060,8080,SYN,2,3686713079,0,64240,True,False,False,False,False
12658,31.815105,1782457455.0790856,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,56060,"SYN,ACK",18,3769444301,3686713080,65160,False,True,False,False,False
12659,31.815159,1782457455.0791397,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,56060,8080,ACK,16,3686713080,3769444302,502,False,False,True,False,False
