packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
3557,16.810225,1782457583.6425016,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,57070,8080,SYN,2,3788582255,0,64240,True,False,False,False,False
3558,16.810273,1782457583.6425495,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,57070,"SYN,ACK",18,1122695136,3788582256,65160,False,True,False,False,False
3559,16.81034,1782457583.6426167,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57070,8080,ACK,16,3788582256,1122695137,502,False,False,True,False,False
3560,16.810529,1782457583.642806,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57070,8080,"ACK,RST",20,3788582256,1122695137,502,False,False,False,False,True
3561,16.821053,1782457583.6533296,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,54965,8080,SYN,2,2755068059,0,8192,True,False,False,False,False
3562,16.821146,1782457583.653422,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,54965,"SYN,ACK",18,3940422150,2755068060,64240,False,True,False,False,False
3563,16.821203,1782457583.65348,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,54965,8080,RST,4,2755068060,0,0,False,False,False,False,True
3564,16.826866,1782457583.6591427,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,57860,8080,SYN,2,181815476,0,64240,True,False,False,False,False
3565,16.826914,1782457583.659191,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,57860,"SYN,ACK",18,1361229761,181815477,65160,False,True,False,False,False
3566,16.826982,1782457583.659259,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,57860,8080,ACK,16,181815477,1361229762,502,False,False,True,False,False
3567,16.827217,1782457583.659494,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,57860,8080,"ACK,RST",20,181815477,1361229762,502,False,False,False,False,True
3568,16.835128,1782457583.667405,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,57086,8080,SYN,2,2705146993,0,64240,True,False,False,False,False
3569,16.83518,1782457583.6674562,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,57086,"SYN,ACK",18,57530912,2705146994,65160,False,True,False,False,False
3570,16.835241,1782457583.6675174,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57086,8080,ACK,16,2705146994,57530913,502,False,False,True,False,False
3571,16.835411,1782457583.6676877,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57086,8080,"ACK,RST",20,2705146994,57530913,502,False,False,False,False,True
3572,16.844904,1782457583.6771805,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,63776,8080,SYN,2,1061370502,0,8192,True,False,False,False,False
3573,16.844988,1782457583.6772647,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,63776,"SYN,ACK",18,3202293392,1061370503,64240,False,True,False,False,False
3574,16.845057,1782457583.6773336,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,63776,8080,RST,4,1061370503,0,0,False,False,False,False,True
3575,16.860215,1782457583.6924915,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,57098,8080,SYN,2,1786090036,0,64240,True,False,False,False,False
3576,16.860261,1782457583.6925373,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,57098,"SYN,ACK",18,104925822,1786090037,65160,False,True,False,False,False
3577,16.860329,1782457583.6926055,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57098,8080,ACK,16,1786090037,104925823,502,False,False,True,False,False
3578,16.860518,1782457583.692794,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57098,8080,"ACK,RST",20,1786090037,104925823,502,False,False,False,False,True
3579,16.871514,1782457583.703791,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,62014,8080,SYN,2,1411945745,0,8192,True,False,False,False,False
3580,16.871612,1782457583.7038882,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,62014,"SYN,ACK",18,4115081561,1411945746,64240,False,True,False,False,False
3581,16.871676,1782457583.7039523,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,62014,8080,RST,4,1411945746,0,0,False,False,False,False,True
3582,16.885186,1782457583.7174628,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,57114,8080,SYN,2,1875153751,0,64240,True,False,False,False,False
3583,16.885231,1782457583.7175074,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,57114,"SYN,ACK",18,4063394847,1875153752,65160,False,True,False,False,False
3584,16.885295,1782457583.7175715,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57114,8080,ACK,16,1875153752,4063394848,502,False,False,True,False,False
3585,16.88547,1782457583.7177465,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57114,8080,"ACK,RST",20,1875153752,4063394848,502,False,False,False,False,True
3586,16.89605,1782457583.7283268,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,56811,8080,SYN,2,1917313083,0,8192,True,False,False,False,False
3587,16.896146,1782457583.7284229,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,56811,"SYN,ACK",18,1948972706,1917313084,64240,False,True,False,False,False
3588,16.896204,1782457583.728481,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,56811,8080,RST,4,1917313084,0,0,False,False,False,False,True
3589,16.91021,1782457583.742487,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,57124,8080,SYN,2,1184989401,0,64240,True,False,False,False,False
3590,16.91026,1782457583.7425365,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,57124,"SYN,ACK",18,2595456402,1184989402,65160,False,True,False,False,False
3591,16.910328,1782457583.7426043,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57124,8080,ACK,16,1184989402,2595456403,502,False,False,True,False,False
3592,16.910516,1782457583.7427924,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57124,8080,"ACK,RST",20,1184989402,2595456403,502,False,False,False,False,True
3593,16.92097,1782457583.7532468,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,61491,8080,SYN,2,1173529709,0,8192,True,False,False,False,False
3594,16.921087,1782457583.7533638,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,61491,"SYN,ACK",18,1067634299,1173529710,64240,False,True,False,False,False
3595,16.92115,1782457583.7534263,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,61491,8080,RST,4,1173529710,0,0,False,False,False,False,True
3596,16.935207,1782457583.7674837,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,57132,8080,SYN,2,2119024577,0,64240,True,False,False,False,False
3597,16.935254,1782457583.767531,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,57132,"SYN,ACK",18,1231138064,2119024578,65160,False,True,False,False,False
3598,16.935321,1782457583.7675974,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57132,8080,ACK,16,2119024578,1231138065,502,False,False,True,False,False
3599,16.935506,1782457583.767783,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57132,8080,"ACK,RST",20,2119024578,1231138065,502,False,False,False,False,True
3600,16.946007,1782457583.778283,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,57425,8080,SYN,2,1305939143,0,8192,True,False,False,False,False
3601,16.946128,1782457583.7784045,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,57425,"SYN,ACK",18,2177890455,1305939144,64240,False,True,False,False,False
3602,16.946186,1782457583.7784626,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,57425,8080,RST,4,1305939144,0,0,False,False,False,False,True
3603,16.951848,1782457583.7841249,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,57870,8080,SYN,2,1377916669,0,64240,True,False,False,False,False
3604,16.951895,1782457583.784171,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,57870,"SYN,ACK",18,3269833615,1377916670,65160,False,True,False,False,False
3605,16.951959,1782457583.7842357,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,57870,8080,ACK,16,1377916670,3269833616,502,False,False,True,False,False
3606,16.952181,1782457583.784458,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,57870,8080,"ACK,RST",20,1377916670,3269833616,502,False,False,False,False,True
3607,16.960127,1782457583.7924037,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,57146,8080,SYN,2,1542138206,0,64240,True,False,False,False,False
3608,16.960174,1782457583.792451,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,57146,"SYN,ACK",18,4215529240,1542138207,65160,False,True,False,False,False
3609,16.960236,1782457583.7925122,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57146,8080,ACK,16,1542138207,4215529241,502,False,False,True,False,False
3610,16.960404,1782457583.7926803,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57146,8080,"ACK,RST",20,1542138207,4215529241,502,False,False,False,False,True
3611,16.97,1782457583.8022761,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,59389,8080,SYN,2,1338695766,0,8192,True,False,False,False,False
3612,16.97011,1782457583.802387,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,59389,"SYN,ACK",18,867475264,1338695767,64240,False,True,False,False,False
3613,16.970163,1782457583.8024397,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,59389,8080,RST,4,1338695767,0,0,False,False,False,False,True
3614,16.98524,1782457583.817516,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,57156,8080,SYN,2,1525329403,0,64240,True,False,False,False,False
3615,16.98529,1782457583.8175666,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,57156,"SYN,ACK",18,659352750,1525329404,65160,False,True,False,False,False
3616,16.985362,1782457583.8176386,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57156,8080,ACK,16,1525329404,659352751,502,False,False,True,False,False
3617,16.985561,1782457583.817838,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57156,8080,"ACK,RST",20,1525329404,659352751,502,False,False,False,False,True
3618,16.9966,1782457583.8288763,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,57195,8080,SYN,2,1954414949,0,8192,True,False,False,False,False
3619,16.996698,1782457583.828975,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,57195,"SYN,ACK",18,2472087159,1954414950,64240,False,True,False,False,False
3620,16.996761,1782457583.829038,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,57195,8080,RST,4,1954414950,0,0,False,False,False,False,True
3621,17.010213,1782457583.8424897,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,57158,8080,SYN,2,3311653857,0,64240,True,False,False,False,False
3622,17.010258,1782457583.8425345,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,57158,"SYN,ACK",18,3106343402,3311653858,65160,False,True,False,False,False
3623,17.010322,1782457583.8425987,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57158,8080,ACK,16,3311653858,3106343403,502,False,False,True,False,False
3624,17.010505,1782457583.8427818,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57158,8080,"ACK,RST",20,3311653858,3106343403,502,False,False,False,False,True
3625,17.022405,1782457583.8546813,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,52909,8080,SYN,2,3518505827,0,8192,True,False,False,False,False
3626,17.022487,1782457583.8547635,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,52909,"SYN,ACK",18,2358330789,3518505828,64240,False,True,False,False,False
3627,17.022536,1782457583.8548126,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,52909,8080,RST,4,3518505828,0,0,False,False,False,False,True
3628,17.035138,1782457583.8674147,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,57174,8080,SYN,2,2011048890,0,64240,True,False,False,False,False
