packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
573,11.347852,1782457389.7153192,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,49984,8080,SYN,2,61376466,0,64240,True,False,False,False,False
574,11.347903,1782457389.71537,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,49984,"SYN,ACK",18,1647567078,61376467,65160,False,True,False,False,False
575,11.347974,1782457389.7154412,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,49984,8080,ACK,16,61376467,1647567079,502,False,False,True,False,False
576,11.348177,1782457389.7156446,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,49984,8080,"ACK,RST",20,61376467,1647567079,502,False,False,False,False,True
577,11.454009,1782457389.8214765,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,48192,8080,SYN,2,2974639400,0,64240,True,False,False,False,False
578,11.454083,1782457389.8215504,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,48192,"SYN,ACK",18,2563983963,2974639401,65160,False,True,False,False,False
579,11.454202,1782457389.8216693,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48192,8080,ACK,16,2974639401,2563983964,502,False,False,True,False,False
580,11.454561,1782457389.8220284,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48192,8080,"ACK,RST",20,2974639401,2563983964,502,False,False,False,False,True
581,11.45699,1782457389.8244576,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,36744,8080,SYN,2,371442983,0,64240,True,False,False,False,False
582,11.457059,1782457389.8245263,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,36744,"SYN,ACK",18,2815832169,371442984,65160,False,True,False,False,False
583,11.457176,1782457389.8246431,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36744,8080,ACK,16,371442984,2815832170,502,False,False,True,False,False
584,11.457541,1782457389.8250086,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36744,8080,"ACK,RST",20,371442984,2815832170,502,False,False,False,False,True
585,11.472733,1782457389.8402,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,49998,8080,SYN,2,3178498578,0,64240,True,False,False,False,False
586,11.472779,1782457389.8402464,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,49998,"SYN,ACK",18,2181387864,3178498579,65160,False,True,False,False,False
587,11.472846,1782457389.8403134,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,49998,8080,ACK,16,3178498579,2181387865,502,False,False,True,False,False
588,11.473017,1782457389.8404846,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,49998,8080,"ACK,RST",20,3178498579,2181387865,502,False,False,False,False,True
589,11.57901,1782457389.946477,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,48202,8080,SYN,2,3563597222,0,64240,True,False,False,False,False
590,11.579085,1782457389.9465523,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,48202,"SYN,ACK",18,1113884896,3563597223,65160,False,True,False,False,False
591,11.579202,1782457389.946669,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48202,8080,ACK,16,3563597223,1113884897,502,False,False,True,False,False
592,11.579559,1782457389.9470265,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48202,8080,"ACK,RST",20,3563597223,1113884897,502,False,False,False,False,True
593,11.582006,1782457389.9494739,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,36754,8080,SYN,2,4253596255,0,64240,True,False,False,False,False
594,11.582081,1782457389.9495485,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,36754,"SYN,ACK",18,584601584,4253596256,65160,False,True,False,False,False
595,11.582197,1782457389.9496646,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36754,8080,ACK,16,4253596256,584601585,502,False,False,True,False,False
596,11.582572,1782457389.9500399,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36754,8080,"ACK,RST",20,4253596256,584601585,502,False,False,False,False,True
597,11.597728,1782457389.9651954,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,50000,8080,SYN,2,954372213,0,64240,True,False,False,False,False
598,11.597774,1782457389.9652417,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,50000,"SYN,ACK",18,1735742338,954372214,65160,False,True,False,False,False
599,11.597842,1782457389.965309,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,50000,8080,ACK,16,954372214,1735742339,502,False,False,True,False,False
600,11.598017,1782457389.9654846,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,50000,8080,"ACK,RST",20,954372214,1735742339,502,False,False,False,False,True
601,11.703988,1782457390.0714552,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,48210,8080,SYN,2,162013048,0,64240,True,False,False,False,False
602,11.704062,1782457390.0715299,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,48210,"SYN,ACK",18,1877362829,162013049,65160,False,True,False,False,False
603,11.704177,1782457390.071644,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48210,8080,ACK,16,162013049,1877362830,502,False,False,True,False,False
604,11.704539,1782457390.0720062,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48210,8080,"ACK,RST",20,162013049,1877362830,502,False,False,False,False,True
605,11.706928,1782457390.074395,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,36758,8080,SYN,2,4162619819,0,64240,True,False,False,False,False
606,11.70699,1782457390.0744572,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,36758,"SYN,ACK",18,2699194697,4162619820,65160,False,True,False,False,False
607,11.707094,1782457390.074561,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36758,8080,ACK,16,4162619820,2699194698,502,False,False,True,False,False
608,11.707424,1782457390.074891,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36758,8080,"ACK,RST",20,4162619820,2699194698,502,False,False,False,False,True
609,11.722725,1782457390.090192,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,50004,8080,SYN,2,1047700612,0,64240,True,False,False,False,False
610,11.722772,1782457390.0902398,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,50004,"SYN,ACK",18,450677355,1047700613,65160,False,True,False,False,False
611,11.722826,1782457390.0902936,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,50004,8080,ACK,16,1047700613,450677356,502,False,False,True,False,False
612,11.723015,1782457390.0904825,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,50004,8080,"ACK,RST",20,1047700613,450677356,502,False,False,False,False,True
613,11.829076,1782457390.1965432,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,48224,8080,SYN,2,2909687115,0,64240,True,False,False,False,False
614,11.829153,1782457390.1966205,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,48224,"SYN,ACK",18,134275632,2909687116,65160,False,True,False,False,False
615,11.829273,1782457390.1967404,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48224,8080,ACK,16,2909687116,134275633,502,False,False,True,False,False
616,11.829602,1782457390.1970694,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48224,8080,"ACK,RST",20,2909687116,134275633,502,False,False,False,False,True
617,11.83192,1782457390.199387,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,36768,8080,SYN,2,4001718212,0,64240,True,False,False,False,False
618,11.831984,1782457390.1994512,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,36768,"SYN,ACK",18,1303823637,4001718213,65160,False,True,False,False,False
